,date,삼성전자_vol_exch,삼성전자_price_end,삼성전자_price_high,삼성전자_price_low,usage
492,2020.12.23,0.17467819366799253,0.680672268907563,0.6148648648648648,0.6733143399810068,train
493,2020.12.24,0.32708329205454467,0.7535014005602241,0.6959459459459459,0.7056030389363724,train
494,2020.12.28,0.4153511063363404,0.7703081232492996,0.7179054054054054,0.7853751187084522,train
495,2020.12.29,0.3018978448409438,0.7628384687208216,0.6976351351351352,0.768281101614435,train
496,2020.12.30,0.2911640637028935,0.8132586367880486,0.7381756756756755,0.768281101614435,train
497,2021.01.04,0.3987064742967625,0.8506069094304389,0.7905405405405405,0.8233618233618235,train
498,2021.01.05,0.36006129757507965,0.8674136321195145,0.7820945945945946,0.8499525166191834,train
499,2021.01.06,0.43868029444498524,0.8356676003734826,0.7922297297297297,0.8594491927825262,train
500,2021.01.07,0.3287337295895259,0.8487394957983194,0.7871621621621622,0.8708452041785376,train
501,2021.01.08,0.6357043194334002,0.9589169000933706,0.8851351351351352,0.8765432098765432,train
502,2021.01.11,0.9999999999999999,1.0,0.9999999999999999,1.0,train
503,2021.01.12,0.5154373395205842,0.992530345471522,0.9087837837837837,0.9677113010446344,train
504,2021.01.13,0.36859659468212475,0.9757236227824464,0.9054054054054054,0.9924026590693259,train
505,2021.01.14,0.2559665845421528,0.9757236227824464,0.8851351351351352,0.9848053181386515,train
506,2021.01.15,0.3378975275404511,0.9439775910364145,0.9155405405405405,0.9715099715099716,train
507,2021.01.18,0.45193923150742665,0.8879551820728291,0.8395270270270271,0.8974358974358975,train
508,2021.01.19,0.4131392229486021,0.9253034547152195,0.8513513513513512,0.8879392212725546,train
509,2021.01.20,0.24219652779477108,0.9290382819794585,0.8682432432432433,0.9430199430199432,train
510,2021.01.21,0.24344081697379755,0.945845004668534,0.8614864864864865,0.9430199430199432,train
511,2021.01.22,0.30797717140766795,0.9215686274509804,0.8800675675675674,0.9487179487179488,train
512,2021.01.25,0.26603139901181894,0.9701213818860877,0.8834459459459459,0.939221272554606,train
513,2021.01.26,0.33495370865672713,0.9197012138188609,0.8716216216216216,0.9430199430199432,train
514,2021.01.27,0.2563053519452222,0.8991596638655461,0.8462837837837837,0.9259259259259259,train
515,2021.01.28,0.3195970912383038,0.8636788048552755,0.8108108108108109,0.8803418803418804,train
516,2021.01.29,0.4098904784776412,0.8319327731092436,0.8006756756756755,0.8575498575498576,train
517,2021.02.01,0.27520836348964695,0.8506069094304389,0.7736486486486486,0.8385565052231719,train
518,2021.02.02,0.25489681296241895,0.876750700280112,0.8243243243243242,0.8898385565052233,train
519,2021.02.03,0.20612045362794623,0.880485527544351,0.8074324324324323,0.8841405508072177,train
520,2021.02.04,0.23009590749652215,0.8412698412698412,0.7804054054054054,0.8594491927825262,train
521,2021.02.05,0.1586770683548568,0.8599439775910365,0.7837837837837837,0.8670465337132004,train
522,2021.02.08,0.12726750934456704,0.8506069094304389,0.7871621621621622,0.8765432098765432,train
523,2021.02.09,0.19198916139887234,0.8450046685340802,0.7972972972972973,0.8708452041785376,train
524,2021.02.10,0.21675566625734405,0.8244631185807656,0.7601351351351352,0.8499525166191834,train
525,2021.02.15,0.22262227949111685,0.873015873015873,0.7922297297297297,0.882241215574549,train
526,2021.02.16,0.18715524159435998,0.8860877684407096,0.8175675675675674,0.8993352326685661,train
527,2021.02.17,0.161830748406111,0.854341736694678,0.7871621621621622,0.8765432098765432,train
528,2021.02.18,0.1969874474220767,0.8338001867413631,0.7770270270270271,0.8594491927825262,train
529,2021.02.19,0.2499934400195316,0.8431372549019607,0.7635135135135135,0.8385565052231719,train
530,2021.02.22,0.24462679392182823,0.8356676003734826,0.7871621621621622,0.8613485280151948,train
531,2021.02.23,0.18836844799104296,0.8319327731092436,0.7652027027027027,0.8404558404558405,train
532,2021.02.24,0.2607824483933263,0.8319327731092436,0.7770270270270271,0.8442545109211778,train
533,2021.02.25,0.34632802794088346,0.8935574229691876,0.8074324324324323,0.8765432098765432,train
534,2021.02.26,0.3971409730838704,0.8412698412698412,0.7736486486486486,0.8575498575498576,train
535,2021.03.02,0.3386701849737541,0.861811391223156,0.8057432432432433,0.8765432098765432,train
536,2021.03.03,0.1801590777219268,0.869281045751634,0.7837837837837837,0.8727445394112062,train
537,2021.03.04,0.23215229548210242,0.8394024276377217,0.7702702702702703,0.8613485280151948,train
538,2021.03.05,0.18745641862132933,0.8338001867413631,0.7601351351351352,0.8404558404558405,train
539,2021.03.08,0.15407193878307718,0.8319327731092436,0.7668918918918918,0.8499525166191834,train
540,2021.03.09,0.24463701515137792,0.8207282913165266,0.7483108108108109,0.8309591642924977,train
541,2021.03.10,0.18197852643071427,0.811391223155929,0.7584459459459459,0.8328584995251663,train
542,2021.03.11,0.22598190916875255,0.8319327731092436,0.7584459459459459,0.8385565052231719,train
543,2021.03.12,0.10621745752013927,0.8468720821661999,0.7753378378378378,0.8651471984805318,train
544,2021.03.15,0.10860658261618449,0.8281979458450046,0.7652027027027027,0.8537511870845206,train
545,2021.03.16,0.09181651342311702,0.8468720821661999,0.7668918918918918,0.8594491927825262,train
546,2021.03.17,0.08403544526830763,0.8375350140056022,0.7652027027027027,0.8575498575498576,train
547,2021.03.18,0.16506136707478397,0.8487394957983194,0.7804054054054054,0.868945868945869,train
548,2021.03.19,0.1334483846417714,0.8300653594771241,0.7584459459459459,0.8537511870845206,train
549,2021.03.22,0.09620499483781343,0.8319327731092436,0.7550675675675674,0.851851851851852,train
550,2021.03.23,0.10353216123847588,0.8281979458450046,0.7652027027027027,0.8537511870845206,train
551,2021.03.24,0.1573942109144431,0.8132586367880486,0.7432432432432433,0.8328584995251663,train
552,2021.03.25,0.12051615439719042,0.8169934640522876,0.7516891891891891,0.8347578347578349,train
553,2021.03.26,0.09824542233852744,0.8225957049486461,0.7432432432432433,0.8385565052231719,train
554,2021.03.29,0.12276654783885839,0.8244631185807656,0.7449324324324323,0.8385565052231719,train
555,2021.03.30,0.10145754267718403,0.8356676003734826,0.7550675675675674,0.8442545109211778,train
556,2021.03.31,0.14940675075657472,0.8207282913165266,0.7618243243243242,0.8461538461538461,train
557,2021.04.01,0.16612326900625413,0.8487394957983194,0.7668918918918918,0.8575498575498576,train
558,2021.04.02,0.21642705023487524,0.8842203548085901,0.8040540540540541,0.8936372269705605,train
559,2021.04.05,0.1379453763988736,0.8954248366013071,0.8175675675675674,0.9107312440645775,train
560,2021.04.06,0.1703789559272456,0.9066293183940242,0.8209459459459459,0.9164292497625831,train
561,2021.04.07,0.15691574561320076,0.8991596638655461,0.8209459459459459,0.9221272554605889,train
562,2021.04.08,0.17273328460515425,0.8823529411764706,0.8124999999999999,0.8974358974358975,train
563,2021.04.09,0.16050329241170563,0.861811391223156,0.7989864864864865,0.8841405508072177,train
564,2021.04.12,0.09905455256474514,0.854341736694678,0.7854729729729729,0.8784425451092118,train
565,2021.04.13,0.12609685259936926,0.869281045751634,0.7922297297297297,0.8727445394112062,train
566,2021.04.14,0.10929173095777368,0.869281045751634,0.7888513513513512,0.8841405508072177,train
567,2021.04.15,0.13935890958153657,0.8711484593837535,0.7922297297297297,0.8841405508072177,train
568,2021.04.16,0.12832405618994053,0.8674136321195145,0.795608108108108,0.8879392212725546,train
569,2021.04.19,0.12666850804018448,0.8562091503267975,0.7837837837837837,0.882241215574549,train
570,2021.04.20,0.12940023059000733,0.8674136321195145,0.7837837837837837,0.8784425451092118,train
571,2021.04.21,0.2005776368391553,0.8431372549019607,0.7753378378378378,0.8670465337132004,train
572,2021.04.22,0.11092263406999371,0.8394024276377217,0.7668918918918918,0.8651471984805318,train
573,2021.04.23,0.1559790944889342,0.8468720821661999,0.7652027027027027,0.8499525166191834,train
574,2021.04.26,0.12902738854127527,0.8599439775910365,0.7753378378378378,0.868945868945869,train
575,2021.04.27,0.09936015335848998,0.8487394957983194,0.7719594594594593,0.8670465337132004,train
576,2021.04.28,0.13027094430633623,0.8338001867413631,0.7702702702702703,0.8594491927825262,train
577,2021.04.29,0.18154256421499104,0.8263305322128851,0.7584459459459459,0.8480531813865148,train
578,2021.04.30,0.16608527117795108,0.8225957049486461,0.7516891891891891,0.8480531813865148,train
579,2021.05.03,0.13159314998806865,0.8263305322128851,0.7567567567567567,0.8385565052231719,train
580,2021.05.04,0.0945989812344512,0.8431372549019607,0.7601351351351352,0.8537511870845206,train
581,2021.05.06,0.14715986140385257,0.8375350140056022,0.7550675675675674,0.851851851851852,train
582,2021.05.07,0.11348534544601034,0.8300653594771241,0.7516891891891891,0.8480531813865148,train
583,2021.05.10,0.174372034082655,0.854341736694678,0.7753378378378378,0.8537511870845206,train
584,2021.05.11,0.28626601092162823,0.8169934640522876,0.7601351351351352,0.8404558404558405,train
585,2021.05.12,0.3656096207893569,0.7945845004668535,0.7364864864864865,0.8157644824311491,train
586,2021.05.13,0.3152930921275275,0.7665732959850606,0.7094594594594593,0.7891737891737892,train
587,2021.05.14,0.14021465233977798,0.796451914098973,0.7212837837837837,0.798670465337132,train
588,2021.05.17,0.15523141969642112,0.7871148459383754,0.731418918918919,0.8043684710351379,train
589,2021.05.18,0.15236239739567725,0.7871148459383754,0.7162162162162161,0.8024691358024693,train
590,2021.05.20,0.14127295705037013,0.7852474323062559,0.7111486486486486,0.8024691358024693,train
591,2021.05.21,0.19272702241403883,0.796451914098973,0.7415540540540541,0.8157644824311491,train
592,2021.05.24,0.1046818632989477,0.788982259570495,0.7229729729729729,0.8100664767331435,train
